Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
Total,,,,194150,7143.3789,4299,220.918,3543864,2.42
LUVKTjM4ukU,시애틀에 있는 IONQ 양자 컴퓨터 제조 현장 방문 해 임원 면담까지 한 사연 (ft. 가을바람월드),"Oct 25, 2024",849,8731,432.9182,239,,120629,5.9
scG3agQQ79E,Cursor AI 와 Github Copilot 비교해 봤습니다 - 남들은 Cursor AI 가 더 좋다고 하던데 저는...,"May 20, 2025",1545,3190,187.5995,40,3.556,36585,6.28
PSTsSCvuoMk,LLMCompiler : 한국인이 만든 추론 방법론으로 AI Agent를 만듭니다. 역시 '빨리빨리',"Mar 26, 2025",1243,4085,171.0129,145,0.487,56976,4.9
sbC64Cx5flQ,"코딩의 판이 바뀐다 - Prompt를 지배하는자, AI Agent 개발의 챔피언이 됩니다.","Feb 7, 2025",1458,3876,156.3894,146,0.265,54717,4.89
KpBnknONb48,"Plan & Execute - 요즘 AI계의 핫 이슈인 추론에 대해 배웁니다 , Inference 와 Reasoning 의 차이점은?","Feb 4, 2025",1007,2708,151.5862,53,1.562,34325,5.39
apgY5Po0fR8,AI Multi-Agent Architectures 공부 시작 - 사실 이거 하려고 직장 때려 쳤는데... 잘 한 선택일까?,"Dec 1, 2024",1591,2834,142.3068,222,0.143,49725,4.38
mvGp8Wz3KdI,LangGraph - 점찍고 선만 그으면 됩니다. 정말 쉽게 설명 드립니다. Graph Theory 만 생각하세요.,"Sep 8, 2024",1210,2350,141.8856,79,0.505,31152,5.35
lBPidxUL8zg,LLMCompiler 2 : AI 시대 코딩 배워야 합니다. AI App Flow를 아시면 무엇을 배워야 하는지 아실 수 있습니다.,"Apr 4, 2025",1720,3676,137.1842,128,0.284,54556,3.99
gtZQKidRm60,DL Basic 07 - 드뎌 ChatGPT를 만든 Transformer Model을 배웁니다.,"Mar 19, 2024",1323,1380,109.9136,67,0.213,27597,3.76
0GWfJoDgQZ0,AI로 AI 웹앱을 만듭니다. 코딩 몰라도 5분만에 뚝딱! 첨부터 끝까지 모두 무료,"Mar 16, 2025",1661,1855,106.3238,40,0.625,22172,3.84
ou89Ug7sjck,GenAI 가 까발린 Human Creativity의 하찮음,"Oct 15, 2024",2231,1432,96.9247,33,0.266,27878,3.66
IUsUevQ0IyA,LangChain Quick Start : 처음 배울 때 확실하게 공부해서 제대로 된 AI Web App 개발자가 되자,"May 17, 2024",1622,1708,86.6661,86,0.244,36443,3.29
fQLSNnspGDc,"AI Web App 개발자가 되자 1. AI Web App 개발 환경 세팅하기 (LangChain, Streamlit, OpenAI API, Github, Python etc.)","Apr 22, 2024",798,1849,80.0129,87,0.592,19071,4.57
Ri3Nrpac3nI,LangGraph + Streamlit + Claude 로 챗봇 만들기 : AI Agent App 이제 시작입니다. 소스 코드 가져 가세요.,"Aug 25, 2024",1977,1045,71.9538,22,0.239,11279,4.33
bDT7aZDDkPo,요즘 AI 앱 개발 트렌드 입니다. 이제부터 좀 더 복잡한 AI 앱 개발 기술로 들어갑니다. 우선 Agent란 무엇인지 이해하시면 많은 도움이 됩니다. (IBM 자료),"Jul 27, 2024",740,1282,71.0105,32,0.177,20842,3.5
CLuBhQKAdzo,"Korea, AI Modeling 에서는 뒤쳐졌지만 AI Agent 시대는 선도할 수 있습니다. - AI Agent 공부하면서 생각한 Platform 사업 아이디어 공유합니다.","Jan 19, 2025",1456,1448,70.4604,43,0.025,32850,3.21
9sH2HWVTZkg,Hierarchical Agent Teams Architecture 최종회 - AI Agent 로 운영하는 1인 기업의 가능성을 확인하세요.,"Jan 6, 2025",1161,2561,70.1285,124,0.097,45766,4.32
nhvF5PCRcLM,LangGraph Studio: The first agent IDE (한글 자막),"Aug 7, 2024",522,2360,66.3215,39,0.469,41927,3.41
WZ3050T-CVg,LangChain Quick Start - RAG 직접 코딩하면 확실하게 배웁니다. 제 소스코드 가져가셔서 맘껏 활용하세요.,"May 29, 2024",1596,992,64.6397,46,0.08,15417,4.55
XHjX1Od7zC4,인도 미녀와 한팀 먹고... AI 해커썬 1등 한 썰 - 6시간만에 뚝딱 앱 완성한 과정 공유합니다.,"Mar 21, 2025",922,1673,58.7685,31,0.055,17172,5.24
Yy0DVD2PlYY,AI Agent - 고급 AI Web App을 개발하려면 반드시 알아야 합니다. 오늘 그 기초부터 시작하세요.,"Aug 2, 2024",1742,593,57.0301,19,0.022,11975,3.3
f3GB5fQmTcM,LangGraph Chatbot with Tool 1 - AI 도 못하는게 있어요. Tool을 사용해 도와 주세요.,"Sep 16, 2024",1465,670,53.252,14,0.074,14278,2.93
L5GjCjX9Yj8,OpenAI Assistants API - OpenAI Agent 의 시작 : 덕분에 ChatGPT가 많이 컸죠.,"Aug 6, 2024",1451,953,52.3743,24,0.008,24978,2.96
_MnR4K59fVg,AI 시대 취업 및 사업 - 이것을 준비하세요. ReWOO 소스코드 분석 및 IT 직무 변화 전망,"Mar 5, 2025",1523,984,48.7185,22,0.028,15091,2.66
8b7CLBCS3pg,What's next for AI agentic workflows ft. Andrew Ng of AI Fund : 이거 꼭 보세요.,"Aug 19, 2024",819,705,48.5265,14,0.368,8806,3.4
M9QfY_-Plsc,LangChain Quick Start - Retrieval Chain 요즘 AI Web App 개발에서 가장 중요한 방법론 중 하나인 RAG를 배웁니다. 단디 배웁시다,"May 27, 2024",1362,694,47.4185,27,0.033,20273,2.5
fm66HVDpt7Y,"*** 고화질 영상링크는 고정 댓글에 있습니다 *** Basic Reflection 소스코드 분석 ft. AI 가 코딩하는 시대, 당신의 역할은? 지금 준비하세요.","Apr 17, 2025",1753,1012,47.0428,31,0.033,25743,1.98
fyh7nZEPpys,Multi-Agent Supervisor : 소스 코드 완벽 분석합니다. 실행 결과가 정말 중요한 정보를 제공합니다. 꼭 확인 하세요.,"Dec 22, 2024",1930,490,45.9502,9,0.211,9838,3.26
WwFD3Z5qXe8,AI Web App 개발자가 되자 2. Today's Counsel 힘든 인생 위로와 희망의 따뜻한 말을 해주는 AI 앱을 만들어 보,"Apr 24, 2024",1309,740,45.6771,16,0.065,19796,2.54
65APUoBgCS0,AI Agent hackathon 참가기 - 이렇게 AI에 미친애들이 지금 미국을 바꾸고 있습니다.,"Jan 31, 2025",657,1407,45.459,29,0.025,15658,4.92
tImosV-7YCY,"재미로 하는 Vibe Coding - Vibe Coding Overview 강의, $680 짜리 BootCamp용 강의 무료로 들을 수 있는 기회 입니다. & MCP 공부 등","Sep 29, 2025",11445,754,44.9258,25,1.35,239371,0.23
G_X-NtEZ0us,DL Basic 01 - AI는 진짜 인간처럼 생각할까? - 속 시원히 알려 드릴께요.,"Feb 13, 2024",960,504,44.5546,30,0.064,4239,6.46
48k_H1cwsfM,챗지피티에게 코딩 시키기 2 - 개발자로서 이런것들을 준비 하세요. 다 길이 있네요. ;),"Jul 23, 2024",1503,1051,44.4305,34,0.026,26931,3.08
qCPbT2YB_E4,LangChain + Streamlit = RAG + ChatBot : Streamlit 의 session_state를 사용해 RAG에 대화 기능을 구현합니다. (쿠키 영상 있음),"Jul 7, 2024",1822,670,42.6907,14,0.096,9555,3.43
obIAf97IsjU,LLMCompiler 3 : LangSmith 를 활용해 소스코드 쉽게 분석하기. ft. 프롬프트 작성하지 말고 가져다 쓰세요,"Apr 11, 2025",2088,1356,41.9956,34,0.136,18887,4.38
HThDRdksrL8,챗지피티에게 코딩 시키기 1 - 앱 하나 뚝딱 이더라구요. 근데 저는 씩 웃었습니다. (쿠키 영상: 아코디언 연주),"Jul 19, 2024",1329,1255,41.7773,20,0.023,29435,3.33
T-AmZ9Oc5mM,Tree of Thoughts (ToT) - Prompting만으로 AI 성능을 10배 끌어올리는 방법! | 일상에서도 써먹는 AI 추론법,"Jul 9, 2025",1979,463,41.1248,12,1.487,9030,2.61
MXyGrnIfTE0,🚀 지난주 라방 하이라이트 | Gemini CLI 설치 & GitHub Copilot과 동시에 같은 작업 시켜봤습니다! 과연 그 결과는...? 🤖🔁❓,"Jul 15, 2025",2775,665,40.2132,9,1.154,12555,3.07
znk1PzEJk0g,2024 AWS Summit 에서 발표된 AWS App Studio - Prompt 만으로 어플리케이션을 만들 수 있습니다.,"Jul 13, 2024",397,1431,40.0654,22,0.005,24353,4.12
QEf5FR0DiHk,OpenAI Assistants API 의 Function Calling - ChatGPT의 성능을 훨씬 끌어 올려 줍니다.,"Aug 15, 2024",1715,622,39.8661,18,0.025,12791,3.47
XkSgND7w-XY,"4가지 추론 방법론 비교 하라는 질문에 대한 Claude, Perplexity, Gemini, Copilot 그리고 Grok AI 들의 답변 분석하기","Feb 21, 2025",1384,729,39.8568,8,0.2,11063,3.83
qC1GGZDyB14,"LangChain Quick Start - Chunk : 실력있는 개발자는 성능, 속도, 비용까지 고려 합니다. RAG에서의 데이터 처리","Jun 23, 2024",1112,842,39.007,22,0.048,18071,3.02
Ku4_N4b78rc,AI-powered PKM 실습 | Jin's 2nd Brain - Obsidian과 AI로 PKM 시작하기,"Sep 26, 2025",770,887,38.1969,23,2.176,8354,5.58
TwQzTw0A51s,사실 AI는 초단기 기억 상실증 환자예요. LangGraph의 처방은 Checkpointers 입니다.,"Sep 30, 2024",1196,625,38.1082,21,0.24,39579,1.09
r9zwLkMV1DE,재미로 하는 Vibe Coding -AI 통역 앱 개발 강좌 : 코딩 몰라도 따라만 하세요,"Apr 24, 2025",5570,647,37.6886,14,0.11,10756,2.63
hRPariJe350,AI Multi-Agent Application - 현시점 한계 분석. 지금 배울 필요가 있을까? 예 지금 배우셔야 합니다.,"Dec 23, 2024",1047,814,36.2806,21,0.088,13477,2.76
raOWNuWGdRM,"재미로 하는 Vibe Coding - 3개월 동안 개발한 앱을 한번에 개발하라고 시켜 보겠습니다. : GPT-5 , Gemini CLI + MCP 공부","Aug 18, 2025",10679,303,35.5835,10,0.885,9075,2.16
Eg4EIf7mYFw,재미로 하는 Vibe Coding - 지금까지 한 일을 반복해 보는 실험을 합니다. 바이브코딩의 장점 중 하나죠? 프롬프트만 있다면 쉽게 재작업 가능 한 것. 직접 확인해 보죠.,"Jun 16, 2025",8326,226,33.7831,5,0.41,9788,1.73
M4PXDMFsYp8,"재미로 하는 Vibe Coding - GitHub Copilot : Ask, Edit, Agent","Apr 12, 2025",4900,404,33.2926,4,0.514,5067,4.93
dRYlwjHi6No,AI-powered PKM 이론 | 이번 건 정말 대박입니다!!! 코딩 없이 나만의 프리미엄급 AI 비서 만들기. 꼭 보세요.,"Dec 16, 2025",2567,314,33.2882,13,1.382,3834,4.09
wIEZWfvWF8Q,IonQ's Full-Stack Quantum Innovation - Full Compilation,"Jan 14, 2025",2213,539,32.441,8,0.113,6601,1.94
BCn3ZjI5nFY,Prompt 중심으로 Backend 소스코드 분석 - AI와 기존 앱의 강점을 최대한 활용하는 것이 Agentic AI 입니다.,"Jan 30, 2025",1343,566,32.4214,10,0.036,11797,3.21
5z3UloBkPso,"VibeLearn AI - AI 시대 새로운 학습 패러다임, 디테일은 AI에게 맡기고, 인간은 방향에 집중합니다","Feb 13, 2026",1618,841,32.2642,26,3.067,6730,3.88
2uNLjZRV6iQ,"Conversational Memory,Conversation Retrieval Chain, Checkpointers : 구독자님 질문에 답하다가 그만 여기까지 나갔네요.","Oct 20, 2024",1203,485,32.2093,15,0.019,13758,2.51
iu2heA4VmoY,"재미로 하는 Vibe Coding - GPT 5 & Gemini CLI : 서로 상대 앱 평가하게 하기, Prompt 개선 후 재 작업 시키기 - 인간 개입 최소화 실험","Aug 25, 2025",10356,176,32.0048,7,0.487,8123,1.44
